399.68,92.44
400.16,92.12
400.65,91.74
401.13,91.34
401.61,90.97
402.09,90.68
402.57,90.50
403.06,90.42
403.54,90.42
404.02,90.43
404.50,90.42
404.98,90.41
405.47,90.41
405.95,90.48
406.43,90.65
406.91,90.93
407.40,91.28
407.88,91.65
408.36,91.99
408.84,92.27
409.32,92.47
409.81,92.62
410.29,92.75
410.77,92.88
411.25,93.03
411.73,93.19
412.22,93.36
412.70,93.52
413.18,93.68
413.66,93.83
414.15,93.98
414.63,94.11
415.11,94.24
415.59,94.33
416.07,94.40
416.56,94.43
417.04,94.45
417.52,94.46
418.00,94.51
418.48,94.59
418.97,94.69
419.45,94.78
419.93,94.82
420.41,94.80
420.89,94.73
421.38,94.63
421.86,94.50
422.34,94.34
422.82,94.14
423.31,93.88
423.79,93.56
424.27,93.21
424.75,92.86
425.23,92.56
425.72,92.34
426.20,92.20
426.68,92.12
427.16,92.07
427.64,92.01
428.13,91.94
428.61,91.86
429.09,91.81
429.57,91.81
430.06,91.86
430.54,91.97
431.02,92.10
431.50,92.23
431.98,92.31
432.47,92.33
432.95,92.31
433.43,92.26
433.91,92.20
434.39,92.14
434.88,92.08
435.36,92.02
435.84,91.96
436.32,91.92
436.80,91.91
437.29,91.93
437.77,91.99
438.25,92.08
438.73,92.18
439.22,92.26
439.70,92.32
440.18,92.37
440.66,92.41
441.14,92.48
441.63,92.58
442.11,92.71
442.59,92.85
443.07,92.99
443.55,93.09
444.04,93.15
444.52,93.19
445.00,93.22
445.48,93.27
445.97,93.35
446.45,93.46
446.93,93.58
447.41,93.71
447.89,93.83
448.38,93.95
448.86,94.07
449.34,94.20
449.82,94.34
450.30,94.49
450.79,94.63
451.27,94.75
451.75,94.84
452.23,94.91
452.72,94.96
453.20,95.00
453.68,95.04
454.16,95.08
454.64,95.13
455.13,95.19
455.61,95.26
456.09,95.34
456.57,95.45
457.05,95.58
457.54,95.74
458.02,95.90
458.50,96.04
458.98,96.13
459.46,96.19
459.95,96.22
460.43,96.25
460.91,96.28
461.39,96.32
461.88,96.36
462.36,96.38
462.84,96.37
463.32,96.31
463.80,96.21
464.29,96.08
464.77,95.95
465.25,95.82
465.73,95.72
466.21,95.63
466.70,95.56
467.18,95.51
467.66,95.48
468.14,95.47
468.63,95.51
469.11,95.57
469.59,95.64
470.07,95.71
470.55,95.75
471.04,95.74
471.52,95.68
472.00,95.59
472.48,95.48
472.96,95.38
473.45,95.30
473.93,95.23
474.41,95.17
474.89,95.09
475.37,95.00
475.86,94.90
476.34,94.78
476.82,94.66
477.30,94.55
477.79,94.43
478.27,94.32
478.75,94.19
479.23,94.07
479.71,93.94
480.20,93.82
480.68,93.71
481.16,93.61
481.64,93.50
482.12,93.38
482.61,93.25
483.09,93.10
483.57,92.94
484.05,92.79
484.54,92.64
485.02,92.49
485.50,92.33
485.98,92.16
486.46,91.96
486.95,91.74
487.43,91.50
487.91,91.23
488.39,90.93
488.87,90.59
489.36,90.21
489.84,89.76
490.32,89.26
490.80,88.69
491.29,88.07
491.77,87.41
492.25,86.69
492.73,85.90
493.21,85.02
493.70,84.03
494.18,82.94
494.66,81.73
495.14,80.44
495.62,79.07
496.11,77.63
496.59,76.14
497.07,74.61
497.55,73.06
498.03,71.55
498.52,70.12
499.00,68.82
499.48,67.70
499.96,66.77
500.45,66.08
500.93,65.67
501.41,65.57
501.89,65.83
502.37,66.46
502.86,67.41
503.34,68.64
503.82,70.07
504.30,71.63
504.78,73.28
505.27,74.98
505.75,76.68
506.23,78.33
506.71,79.86
507.20,81.21
507.68,82.33
508.16,83.22
508.64,83.89
509.12,84.35
509.61,84.66
510.09,84.84
