"Volume","pH","Actual Volume"
7.62,4.14,0.000
9,4.30,1.380
11,4.53,3.380
13,4.74,5.380
15,4.93,7.380
17,5.08,9.380
19,5.24,11.380
21.01,5.43,13.390
23,5.61,15.380
24,5.75,16.380
25,5.91,17.380
25.5,6.00,17.880
26,6.10,18.380
26.5,6.24,18.880
27,6.40,19.380
27.4,6.63,19.780
27.62,6.86,20.000
27.9,7.41,20.280
28.09,9.53,20.470
28.15,9.94,20.530
28.21,10.17,20.590
28.36,10.57,20.740
28.52,10.80,20.900
28.7,10.95,21.080
28.9,11.12,21.280
29.32,11.28,21.700
29.88,11.45,22.260
30.38,11.56,22.760
31.5,11.70,23.880
33,11.84,25.380
35,11.99,27.380
38,12.14,30.380
42.25,12.24,34.630
