"Volume","pH","Actual Volume"
12.09,4.03,0.000
14.09,4.33,2.000
16.09,4.57,4.000
18.32,4.80,6.230
20.32,4.96,8.230
22.32,5.12,10.230
24.32,5.29,12.230
26.35,5.47,14.260
28.32,5.69,16.230
30.32,5.99,18.230
31.62,6.33,19.530
32.6,6.94,20.510
32.8,7.50,20.710
32.93,9.63,20.840
33,9.99,20.910
33.05,10.19,20.960
33.1,10.34,21.010
33.2,10.55,21.110
33.3,10.70,21.210
33.45,10.88,21.360
33.7,11.04,21.610
34,11.21,21.910
34.5,11.38,22.410
35.5,11.60,23.410
36.5,11.74,24.410
38,11.87,25.910
40.1,12.01,28.010
43.1,12.14,31.010
46.1,12.23,34.010
48.22,12.28,36.130
